r,r1,r2,n1,n2
0.0,0.0,0.0,0.0,0.0
0.018068068068068068,0.00950952971814878,0.008558538349919289,0.0,0.0
0.036136136136136136,0.01901902537502843,0.017117110761107706,0.0,0.0
0.0542042042042042,0.02852855057342308,0.02567565363078112,0.0,0.0
0.07227227227227227,0.03803803565119523,0.034234236621077045,0.0,0.0
0.09034034034034034,0.04754753498868923,0.042792805351651114,0.0,0.0
0.1084084084084084,0.05705705336582219,0.051351355042586214,0.0,0.0
0.12647647647647647,0.06656656287761942,0.059909913598857056,0.0,0.0
0.14454454454454455,0.07607603324843605,0.0684685112961085,0.0,0.0
0.16261261261261262,0.08558559458195558,0.07702701803065704,0.0,0.0
0.1806806806806807,0.0950951047981247,0.08558557588255598,0.0,0.0
0.19874874874874876,0.10460465317726321,0.09414409557148555,0.0,0.0
0.2168168168168168,0.11411413074653103,0.10270268607028578,0.0,0.0
0.23488488488488488,0.12362363327282495,0.11126125161205992,0.0,0.0
0.25295295295295295,0.1331331508256882,0.11981980212726476,0.0,0.0
0.27102102102102105,0.1426426365179062,0.12837838450311484,0.0,0.0
0.2890890890890891,0.15215217050383809,0.136936918585251,0.0,0.0
0.30715715715715713,0.16166164422965806,0.14549551292749907,0.0,0.0
0.32522522522522523,0.17117124134212533,0.1540539838830999,0.0,0.0
0.3432932932932933,0.18068069680612106,0.16261259648717222,0.0,0.0
0.3613613613613614,0.190190208221434,0.17117115313992737,0.0,0.0
0.3794294294294294,0.1996997026889297,0.17972972674049972,0.0,0.0
0.3974974974974975,0.2092092215086226,0.18828827598887493,0.0,0.0
0.41556556556556556,0.2187187396834189,0.19684682588214666,0.0,0.0
0.4336336336336336,0.22822824990354842,0.20540538373008518,0.0,0.0
0.4517017017017017,0.2377377693726686,0.2139639323290331,0.0,0.0
0.46976976976976975,0.24724730475942455,0.2225224650103452,0.0,0.0
0.48783783783783785,0.2567567741942987,0.23108106364353914,0.0,0.0
0.5059059059059059,0.266266284859578,0.2396396210463279,0.0,0.0
0.5239739739739739,0.27577579061906,0.24819818335491395,0.0,0.0
0.5420420420420421,0.2852853061529855,0.2567567358890566,0.0,0.0
0.5601101101101101,0.29479483985845145,0.2653152702516587,0.0,0.0
0.5781781781781782,0.3043043276251548,0.2738738505530234,0.0,0.0
0.5962462462462462,0.31381387512171416,0.28243237112453207,0.0,0.0
0.6143143143143143,0.3233233888121801,0.2909909255021342,0.0,0.0
0.6323823823823824,0.3328328083657437,0.29954957401663873,0.0,0.0
0.6504504504504505,0.3423423339840342,0.3081081164664163,0.0,0.0
0.6685185185185185,0.3518518732762145,0.31666664524230403,0.0,0.0
0.6865865865865866,0.36136138404426105,0.3252252025423255,0.0,0.0
0.7046546546546547,0.3708708944380202,0.33378376021663453,0.0,0.0
0.7227227227227228,0.3803804149407878,0.342342307781935,0.0,0.0
0.7407907907907908,0.3898898900389463,0.3509009007518445,0.0,0.0
0.7588588588588588,0.39939942651266536,0.3594594323461935,0.0,0.0
0.7769269269269269,0.4089089181625553,0.3680180087643716,0.0,0.0
0.794994994994995,0.4184184184863739,0.37657657650862114,0.0,0.0
